id,source,brand,product_url,title,category,gender,price,sale,description,image_url,second_hand
,scraper-bound,Bound,https://wearebound.com/products/floral-zip-gilet-fleece-ecru,FLORAL ZIP GILET FLEECE - ECRU,Fleeces,UNISEX,106USD,106USD,,http://wearebound.com/cdn/shop/files/110307.jpg?v=1759258288,False
,scraper-bound,Bound,https://wearebound.com/products/vintage-wash-corduroy-overshirt-black,VINTAGE WASH CORDUROY OVERSHIRT - BLACK,Overshirts,UNISEX,134USD,134USD,,http://wearebound.com/cdn/shop/files/110473.jpg?v=1759258259,False
,scraper-bound,Bound,https://wearebound.com/products/herringbone-gracell-trousers,HERRINGBONE GRACELL TROUSERS,Trousers,UNISEX,120USD,120USD,,http://wearebound.com/cdn/shop/files/109997.jpg?v=1759242216,False
,scraper-bound,Bound,https://wearebound.com/products/heavy-canvas-workwear-trouser-navy,HEAVY CANVAS WORKWEAR TROUSER - NAVY,Trousers,UNISEX,127USD,127USD,,http://wearebound.com/cdn/shop/files/109894.jpg?v=1759242129,False
,scraper-bound,Bound,https://wearebound.com/products/heavy-canvas-workwear-trouser-army,HEAVY CANVAS WORKWEAR TROUSER - ARMY,Trousers,UNISEX,127USD,127USD,,http://wearebound.com/cdn/shop/files/109592.jpg?v=1759241909,False
,scraper-bound,Bound,https://wearebound.com/products/heavy-canvas-workwear-trouser-brown,HEAVY CANVAS WORKWEAR TROUSER - BROWN,Trousers,UNISEX,127USD,127USD,,http://wearebound.com/cdn/shop/files/109615.jpg?v=1759241927,False
,scraper-bound,Bound,https://wearebound.com/products/heavy-canvas-workwear-trouser-black,HEAVY CANVAS WORKWEAR TROUSER - BLACK,Trousers,UNISEX,127USD,127USD,,http://wearebound.com/cdn/shop/files/109878.jpg?v=1759242108,False
,scraper-bound,Bound,https://wearebound.com/products/canvas-pleated-chino-navy,CANVAS PLEATED CHINO - NAVY,,UNISEX,113USD,113USD,,http://wearebound.com/cdn/shop/files/110085_ee0e7f98-cfee-49e0-a8ca-d5c1bcae8328.jpg?v=1759242390,False
,scraper-bound,Bound,https://wearebound.com/products/quilted-canvas-trousers-navy,QUILTED CANVAS TROUSERS - NAVY,Trousers,UNISEX,99USD,99USD,,http://wearebound.com/cdn/shop/files/110262.jpg?v=1759266655,False
,scraper-bound,Bound,https://wearebound.com/products/staten-cargo-trouser-sand,STATEN CARGO TROUSER - SAND,Trousers,UNISEX,120USD,120USD,,http://wearebound.com/cdn/shop/files/110362.jpg?v=1759258178,False
